year,month,mean_daily_precipitation_mm,derived_monthly_total_mm
1981,1,10.34,320.54
1981,2,10.65,298.2
1981,3,7.54,233.74
1981,4,11.86,355.8
1981,5,6.5,201.5
1981,6,3.78,113.4
1981,7,2.87,88.97
1981,8,3.38,104.78
1981,9,3.91,117.3
1981,10,12.2,378.2
1981,11,9.35,280.5
1981,12,9.76,302.56
1982,1,12.01,372.31
1982,2,21.06,589.68
1982,3,4.46,138.26
1982,4,1.95,58.5
1982,5,6.98,216.38
1982,6,1.74,52.2
1982,7,3.0,93.0
1982,8,7.34,227.54
1982,9,2.91,87.3
1982,10,3.52,109.12
1982,11,8.63,258.9
1982,12,0.65,20.15
1983,1,9.86,305.66
1983,2,7.91,221.48
1983,3,6.26,194.06
1983,4,3.02,90.6
1983,5,4.35,134.85
1983,6,1.45,43.5
1983,7,1.22,37.82
1983,8,2.69,83.39
1983,9,1.65,49.5
1983,10,9.64,298.84
1983,11,4.4,132.0
1983,12,10.85,336.35
1984,1,10.03,310.93
1984,2,6.04,175.16
1984,3,12.65,392.15
1984,4,4.97,149.1
1984,5,2.33,72.23
1984,6,3.99,119.7
1984,7,2.14,66.34
1984,8,2.29,70.99
1984,9,2.8,84.0
1984,10,7.55,234.05
1984,11,4.58,137.4
1984,12,12.52,388.12
1985,1,9.86,305.66
1985,2,9.59,268.52
1985,3,4.91,152.21
1985,4,6.68,200.4
1985,5,6.65,206.15
1985,6,3.9,117.0
1985,7,2.34,72.54
1985,8,3.18,98.58
1985,9,5.28,158.4
1985,10,5.73,177.63
1985,11,4.93,147.9
1985,12,6.16,190.96
1986,1,12.08,374.48
1986,2,5.26,147.28
1986,3,5.18,160.58
1986,4,8.99,269.7
1986,5,7.64,236.84
1986,6,2.5,75.0
1986,7,2.42,75.02
1986,8,2.37,73.47
1986,9,4.19,125.7
1986,10,2.97,92.07
1986,11,3.2,96.0
1986,12,8.17,253.27
1987,1,8.48,262.88
1987,2,11.45,320.6
1987,3,5.38,166.78
1987,4,7.54,226.2
1987,5,5.64,174.84
1987,6,4.22,126.6
1987,7,1.48,45.88
1987,8,4.49,139.19
1987,9,2.07,62.1
1987,10,3.32,102.92
1987,11,2.5,75.0
1987,12,11.35,351.85
1988,1,9.78,303.18
1988,2,8.45,245.05
1988,3,5.66,175.46
1988,4,5.61,168.3
1988,5,6.2,192.2
1988,6,6.04,181.2
1988,7,6.57,203.67
1988,8,2.39,74.09
1988,9,3.17,95.1
1988,10,6.52,202.12
1988,11,11.15,334.5
1988,12,9.22,285.82
1989,1,9.77,302.87
1989,2,8.47,237.16
1989,3,5.94,184.14
1989,4,5.24,157.2
1989,5,2.6,80.6
1989,6,1.84,55.2
1989,7,1.25,38.75
1989,8,0.51,15.81
1989,9,0.78,23.4
1989,10,3.42,106.02
1989,11,9.77,293.1
1989,12,4.75,147.25
1990,1,8.97,278.07
1990,2,11.75,329.0
1990,3,10.32,319.92
1990,4,6.9,207.0
1990,5,2.41,74.71
1990,6,2.47,74.1
1990,7,2.59,80.29
1990,8,0.9,27.9
1990,9,1.54,46.2
1990,10,3.5,108.5
1990,11,8.63,258.9
1990,12,8.8,272.8
1991,1,8.48,262.88
1991,2,13.88,388.64
1991,3,6.05,187.55
1991,4,3.31,99.3
1991,5,5.51,170.81
1991,6,3.86,115.8
1991,7,2.7,83.7
1991,8,2.92,90.52
1991,9,2.39,71.7
1991,10,6.41,198.71
1991,11,10.97,329.1
1991,12,12.67,392.77
1992,1,4.6,142.6
1992,2,11.28,327.12
1992,3,10.76,333.56
1992,4,9.93,297.9
1992,5,4.74,146.94
1992,6,1.75,52.5
1992,7,2.53,78.43
1992,8,3.19,98.89
1992,9,4.66,139.8
1992,10,5.67,175.77
1992,11,7.38,221.4
1992,12,7.53,233.43
1993,1,8.82,273.42
1993,2,8.31,232.68
1993,3,10.93,338.83
1993,4,7.01,210.3
1993,5,5.88,182.28
1993,6,4.24,127.2
1993,7,3.71,115.01
1993,8,2.62,81.22
1993,9,5.35,160.5
1993,10,4.6,142.6
1993,11,6.92,207.6
1993,12,8.53,264.43
1994,1,7.93,245.83
1994,2,2.88,80.64
1994,3,4.62,143.22
1994,4,11.01,330.3
1994,5,5.31,164.61
1994,6,2.54,76.2
1994,7,2.43,75.33
1994,8,3.33,103.23
1994,9,2.8,84.0
1994,10,4.13,128.03
1994,11,9.89,296.7
1994,12,8.25,255.75
1995,1,6.11,189.41
1995,2,7.15,200.2
1995,3,3.76,116.56
1995,4,4.26,127.8
1995,5,4.39,136.09
1995,6,2.01,60.3
1995,7,3.86,119.66
1995,8,5.62,174.22
1995,9,3.24,97.2
1995,10,4.03,124.93
1995,11,7.2,216.0
1995,12,2.99,92.69
1996,1,8.95,277.45
1996,2,9.54,276.66
1996,3,8.11,251.41
1996,4,3.99,119.7
1996,5,2.44,75.64
1996,6,1.64,49.2
1996,7,1.11,34.41
1996,8,0.74,22.94
1996,9,3.95,118.5
1996,10,6.39,198.09
1996,11,4.76,142.8
1996,12,6.18,191.58
1997,1,11.73,363.63
1997,2,6.59,184.52
1997,3,11.55,358.05
1997,4,1.87,56.1
1997,5,1.67,51.77
1997,6,3.93,117.9
1997,7,1.22,37.82
1997,8,3.67,113.77
1997,9,2.67,80.1
1997,10,4.7,145.7
1997,11,2.51,75.3
1997,12,4.62,143.22
1998,1,9.14,283.34
1998,2,1.29,36.12
1998,3,6.65,206.15
1998,4,0.48,14.4
1998,5,1.06,32.86
1998,6,1.08,32.4
1998,7,0.83,25.73
1998,8,1.06,32.86
1998,9,2.43,72.9
1998,10,4.44,137.64
1998,11,4.21,126.3
1998,12,7.07,219.17
1999,1,13.24,410.44
1999,2,7.99,223.72
1999,3,3.01,93.31
1999,4,3.79,113.7
1999,5,4.85,150.35
1999,6,1.91,57.3
1999,7,0.55,17.05
1999,8,0.99,30.69
1999,9,6.48,194.4
1999,10,5.42,168.02
1999,11,6.21,186.3
1999,12,4.11,127.41
2000,1,7.35,227.85
2000,2,5.65,163.85
2000,3,7.1,220.1
2000,4,4.6,138.0
2000,5,4.24,131.44
2000,6,2.61,78.3
2000,7,2.5,77.5
2000,8,0.69,21.39
2000,9,1.02,30.6
2000,10,5.59,173.29
2000,11,7.01,210.3
2000,12,4.87,150.97
2001,1,3.44,106.64
2001,2,8.74,244.72
2001,3,7.27,225.37
2001,4,6.18,185.4
2001,5,2.72,84.32
2001,6,3.81,114.3
2001,7,2.0,62.0
2001,8,1.45,44.95
2001,9,3.96,118.8
2001,10,4.89,151.59
2001,11,6.06,181.8
2001,12,10.46,324.26
2002,1,4.3,133.3
2002,2,8.0,224.0
2002,3,4.75,147.25
2002,4,4.72,141.6
2002,5,5.67,175.77
2002,6,1.85,55.5
2002,7,2.25,69.75
2002,8,1.64,50.84
2002,9,2.65,79.5
2002,10,4.86,150.66
2002,11,6.12,183.6
2002,12,6.39,198.09
2003,1,7.56,234.36
2003,2,2.98,83.44
2003,3,5.66,175.46
2003,4,6.0,180.0
2003,5,4.97,154.07
2003,6,2.06,61.8
2003,7,2.21,68.51
2003,8,1.15,35.65
2003,9,4.9,147.0
2003,10,2.46,76.26
2003,11,7.05,211.5
2003,12,4.44,137.64
2004,1,6.75,209.25
2004,2,5.15,149.35
2004,3,4.79,148.49
2004,4,3.63,108.9
2004,5,1.7,52.7
2004,6,3.04,91.2
2004,7,2.37,73.47
2004,8,0.9,27.9
2004,9,2.18,65.4
2004,10,6.7,207.7
2004,11,4.78,143.4
2004,12,3.73,115.63
2005,1,5.16,159.96
2005,2,7.34,205.52
2005,3,4.0,124.0
2005,4,7.86,235.8
2005,5,2.35,72.85
2005,6,2.75,82.5
2005,7,1.81,56.11
2005,8,2.49,77.19
2005,9,5.94,178.2
2005,10,2.92,90.52
2005,11,7.06,211.8
2005,12,8.73,270.63
2006,1,12.1,375.1
2006,2,20.48,573.44
2006,3,2.28,70.68
2006,4,2.91,87.3
2006,5,3.48,107.88
2006,6,3.33,99.9
2006,7,2.04,63.24
2006,8,2.37,73.47
2006,9,4.3,129.0
2006,10,5.48,169.88
2006,11,5.83,174.9
2006,12,5.93,183.83
2007,1,4.2,130.2
2007,2,6.05,169.4
2007,3,9.63,298.53
2007,4,3.36,100.8
2007,5,7.59,235.29
2007,6,1.64,49.2
2007,7,1.95,60.45
2007,8,2.27,70.37
2007,9,2.76,82.8
2007,10,5.02,155.62
2007,11,7.88,236.4
2007,12,6.58,203.98
2008,1,10.37,321.47
2008,2,3.78,109.62
2008,3,5.63,174.53
2008,4,3.27,98.1
2008,5,4.65,144.15
2008,6,5.86,175.8
2008,7,2.64,81.84
2008,8,0.64,19.84
2008,9,3.4,102.0
2008,10,2.34,72.54
2008,11,6.61,198.3
2008,12,6.69,207.39
2009,1,8.1,251.1
2009,2,4.24,118.72
2009,3,4.3,133.3
2009,4,7.1,213.0
2009,5,4.77,147.87
2009,6,3.07,92.1
2009,7,0.72,22.32
2009,8,1.41,43.71
2009,9,2.38,71.4
2009,10,1.96,60.76
2009,11,6.48,194.4
2009,12,5.64,174.84
2010,1,9.1,282.1
2010,2,8.21,229.88
