DATAFLOW,FREQ,GEO_PICT,AGRICULTURE_PRODUCTION_ITEM,AGRICULTURE_PRODUCTION_TYPE,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MEASURE,ERROR_TYPE,ERROR_VAL,REPORTING_TYPE,OBS_COMMENT
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1961,6785.7,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1962,6774.2,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1963,6857.1,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1964,6875,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1965,6969.7,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1966,6969.7,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1967,6969.7,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1968,6944.4,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1969,6756.8,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1970,6578.9,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1971,6750,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1972,6750,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1973,6750,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1974,6750,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1975,6750,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1976,6736.8,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1977,6736.8,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1978,6804.1,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1979,6868.7,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1980,6930.7,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1981,6941.2,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1982,7096.2,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1983,6981.1,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1984,7037,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1985,6927.3,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1986,6821.4,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1987,6719.3,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1988,6551.7,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1989,6347.1,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1990,4166.7,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1991,3790,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1992,4000,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1993,3409.1,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1994,1500,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1995,2758.2,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1996,2940.6,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1997,3194.2,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1998,3430.1,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,1999,3526.9,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2000,5000,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2001,5000,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2002,4857.1,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2003,4754.4,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2004,4795.9,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2005,4794.1,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2006,4929.6,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2007,5452.7,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2008,5036.2,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2009,5328.4,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2010,5275.6,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2011,5255.9,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2012,5204.7,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2013,5233.8,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2014,5289.5,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2015,5434.9,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2016,5497.6,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2017,5526.8,,KGHA,,,,
SPC:DF_AGRICULTURAL_PRODUCTION(1.0),A,WS,TARO,CROP_YIELD,2018,5554,,KGHA,,,,
